,source,active,quantity,quantity_annual,quantity_cumulative,cost,cost_annual,cost_cumulative,t_interval,consequence-cost
0,risk,False,,,,,,,0.0,0.0
1,risk,True,0.005,5.3451353922794865e-06,0.08,0.0,0.0,0.0,0.0,0.0
2,conditional_failure,False,,,,,,,0.0,0.0
3,conditional_failure,True,0.015,1.603540617683846e-05,0.27500000000000013,52.5,0.05612392161893461,962.5,0.0,0.0
4,functional_failure,False,,,,,,,0.0,0.0
5,functional_failure,True,0.005,5.3451353922794865e-06,0.08,35.0,0.037415947745956406,560.0,0.0,0.0
6,inspection_groundline,False,,,,,,,0.0,0.0
7,inspection_groundline,True,0.985,0.001052991672279059,696.8799999999966,49.25,0.052649583613952944,34844.0,0.0,0.0
8,inspection_protection,False,,,,,,,0.0,0.0
9,inspection_protection,True,1.0,0.0010690270784558973,77.63499999999999,0.0,0.0,0.0,0.0,0.0
10,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,pole_saver_rod,True,,,,,,,0.0,0.0
12,termite_treatment,False,,,,,,,0.0,0.0
13,termite_treatment,True,0.01,1.0690270784558973e-05,0.19500000000000012,1.0,0.0010690270784558973,19.5,0.0,0.0
14,risk,False,,,,,,,3.0,0.0
15,risk,True,0.01,1.0540295549887219e-05,0.09000000000000001,0.0,0.0,0.0,3.0,0.0
16,conditional_failure,False,,,,,,,3.0,0.0
17,conditional_failure,True,0.01,1.0540295549887219e-05,0.2200000000000001,35.0,0.036891034424605264,770.0,3.0,0.0
18,functional_failure,False,,,,,,,3.0,0.0
19,functional_failure,True,0.01,1.0540295549887219e-05,0.09000000000000001,70.0,0.07378206884921053,630.0,3.0,0.0
20,inspection_groundline,False,,,,,,,3.0,0.0
21,inspection_groundline,True,0.985,0.001038219111663891,236.90000000000023,49.25,0.05191095558319455,11845.0,3.0,0.0
22,inspection_protection,False,,,,,,,3.0,0.0
23,inspection_protection,True,1.0,0.0010540295549887218,78.75999999999999,0.0,0.0,0.0,3.0,0.0
24,pole_saver_rod,False,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
25,pole_saver_rod,True,,,,,,,3.0,0.0
26,termite_treatment,False,,,,,,,3.0,0.0
